"V1","V2"
1,185
1,453
1,453
1,453
1,453
1,603
1,633
1,633
1,171
1,186
1,186
1,186
1,439
1,514
1,619
1,634
1,634
1,634
1,634
1,649
1,634
1,455
1,590
1,635
1,83
1,83
1,173
1,441
1,456
1,456
1,516
1,621
1,636
1,69
1,69
1,84
1,84
1,84
1,189
1,189
1,219
1,367
1,427
1,427
1,442
1,442
1,442
1,442
1,442
1,442
1,457
1,457
1,457
1,457
1,457
1,457
1,502
1,517
1,517
1,607
1,637
1,637
1,637
1,637
1,637
1,637
1,637
1,637
1,637
1,637
1,637
1,637
1,637
1,637
1,652
1,652
1,652
1,652
1,457
1,607
1,622
1,637
1,637
1,70
1,70
1,70
1,85
1,85
1,85
1,85
1,85
1,85
1,130
1,130
1,190
1,190
1,190
1,310
1,368
1,398
1,443
1,443
1,443
1,443
1,443
1,443
1,458
1,458
1,458
1,458
1,458
1,458
1,458
1,458
1,503
1,503
1,503
1,503
1,503
1,503
1,503
1,518
1,623
1,638
1,638
1,638
1,638
1,638
1,653
1,368
1,428
1,458
1,608
1,638
1,638
1,638
1,71
1,71
1,86
1,86
1,86
1,86
1,86
1,86
1,86
1,86
1,191
1,191
1,191
1,191
1,191
1,191
1,221
1,221
1,221
1,281
1,399
1,429
1,429
1,429
1,429
1,429
1,429
1,444
1,444
1,444
1,444
1,444
1,444
1,444
1,444
1,444
1,444
1,444
1,444
1,444
1,444
1,444
1,444
1,444
1,459
1,459
1,459
1,459
1,459
1,459
1,459
1,459
1,459
1,459
1,459
1,459
1,474
1,504
1,504
1,504
1,504
1,504
1,504
1,504
1,504
1,504
1,504
1,504
1,504
1,504
1,519
1,519
1,519
1,519
1,519
1,519
1,519
1,534
1,624
1,639
1,639
1,639
1,639
1,639
1,654
1,654
1,444
1,459
1,459
1,474
1,474
1,639
1,639
1,639
1,639
1,102
1,192
1,192
1,192
1,72
1,282
1,430
1,430
1,430
1,430
1,430
1,445
1,445
1,445
1,445
1,445
1,445
1,445
1,460
1,460
1,460
1,460
1,460
1,460
1,475
1,490
1,505
1,505
1,505
1,505
1,505
1,505
1,505
1,505
1,505
1,505
1,520
1,520
1,520
1,535
1,535
1,640
1,445
1,445
1,445
1,625
1,44
1,103
1,103
1,103
1,103
1,193
1,193
1,193
1,163
1,193
1,386
1,386
1,386
1,401
1,446
1,446
1,446
1,446
1,446
1,446
1,461
1,461
1,461
1,461
1,461
1,461
1,461
1,461
1,461
1,461
1,461
1,461
1,461
1,461
1,476
1,476
1,506
1,506
1,506
1,506
1,506
1,506
1,506
1,506
1,506
1,506
1,506
1,521
1,521
1,521
1,521
1,521
1,521
1,536
1,536
1,626
1,641
1,641
1,641
1,656
1,656
1,656
1,386
1,446
1,461
1,461
1,476
1,626
1,74
1,74
1,74
1,74
1,74
1,89
1,89
1,89
1,149
1,164
1,179
1,194
1,224
1,89
1,387
1,387
1,402
1,432
1,447
1,447
1,447
1,447
1,462
1,462
1,462
1,462
1,462
1,462
1,462
1,462
1,462
1,462
1,462
1,462
1,477
1,477
1,507
1,507
1,507
1,507
1,507
1,507
1,507
1,507
1,507
1,507
1,522
1,522
1,522
1,522
1,522
1,612
1,612
1,627
1,627
1,627
1,642
1,642
1,642
1,642
1,642
1,642
1,642
1,642
1,642
1,642
1,642
1,642
1,642
1,642
1,642
1,642
1,657
2,358
2,92
2,257
2,375
2,405
2,153
2,361
2,376
2,391
2,391
2,406
2,406
2,436
2,436
2,436
2,451
2,496
2,511
2,5
2,139
2,154
2,169
2,214
2,214
2,244
2,274
2,289
2,289
2,289
2,318
2,318
2,347
2,407
2,407
2,422
2,437
2,467
2,467
2,482
2,497
2,497
2,497
2,512
2,512
2,512
2,542
2,542
2,557
2,572
2,617
2,647
2,377
2,6
2,21
2,36
2,51
2,51
2,51
2,65
2,65
2,140
2,155
2,170
2,170
2,170
2,170
2,185
2,185
2,200
2,230
2,230
2,230
2,245
2,290
2,290
2,290
2,290
2,319
2,378
2,378
2,378
2,393
2,393
2,393
2,393
2,393
2,423
2,423
2,423
2,423
2,438
2,438
2,453
2,453
2,453
2,468
2,468
2,468
2,498
2,498
2,498
2,513
2,513
2,528
2,543
2,543
2,543
2,558
2,588
2,603
2,603
2,603
2,618
2,618
2,438
2,7
2,7
2,37
2,66
2,96
2,141
2,141
2,186
2,246
2,379
2,379
2,394
2,424
2,439
2,439
2,634
2,307
2,307
2,500
2,500
2,620
2,500
2,53
2,188
2,456
2,501
2,10
2,10
2,40
2,174
2,204
2,234
2,249
2,427
2,487
2,517
2,55
2,205
2,220
2,623
2,339
2,429
2,504
2,519
2,87
2,430
2,238
2,239
2,314
3,181
3,62
3,167
3,465
3,4
3,421
3,496
3,496
3,496
3,5
3,35
3,64
3,64
3,169
3,79
3,497
3,527
3,423
3,423
3,423
3,513
3,513
3,438
3,7
3,156
3,186
3,186
3,454
3,469
3,514
3,514
3,67
3,82
3,217
3,500
3,515
3,515
3,83
3,203
3,516
3,129
3,442
3,517
3,457
3,443
3,518
3,27
3,134
4,1
4,31
4,120
4,135
4,150
4,150
4,195
4,195
4,270
4,285
4,285
4,358
4,373
4,388
4,418
4,463
4,568
4,568
4,613
4,613
4,628
4,643
4,106
4,151
4,151
4,151
4,166
4,614
4,644
4,3
4,48
4,92
4,107
4,122
4,122
4,122
4,272
4,287
4,302
4,525
4,540
4,570
4,615
4,630
4,390
4,302
4,4
4,93
4,93
4,138
4,153
4,153
4,153
4,183
4,183
4,183
4,198
4,213
4,331
4,331
4,288
4,303
4,361
4,391
4,406
4,466
4,466
4,466
4,481
4,511
4,526
4,526
4,586
4,586
4,601
4,631
4,303
4,436
4,361
4,5
4,20
4,154
4,154
4,154
4,169
4,169
4,50
4,139
4,154
4,392
4,542
4,587
4,602
4,6
4,155
4,155
4,215
4,215
4,333
4,155
4,305
4,319
4,408
4,423
4,573
4,588
4,603
4,603
4,618
4,408
4,7
4,7
4,96
4,141
4,186
4,231
4,334
4,156
4,424
4,424
4,439
4,469
4,514
4,38
4,307
4,410
4,410
4,410
4,9
4,24
4,336
4,396
4,426
4,606
4,69
4,159
4,249
4,412
4,412
4,412
4,427
4,442
4,472
4,412
4,100
4,235
4,473
4,593
4,608
4,505
4,476
